4.84173 4.84211
4.8408 4.84132
4.83733 4.83795
4.83874 4.83949
4.84431 4.84521
4.84576 4.84689
4.84796 4.84875
4.84958 4.84978
4.85154 4.85216
4.85577 4.85636
4.85653 4.85681
4.85918 4.85939
4.86066 4.86107
4.86334 4.86362
4.86396 4.86427
4.86369 4.86383
4.85977 4.86014
4.86919 4.86919
4.88234 4.883
4.88485 4.8854
4.88788 4.8884
4.89318 4.89353
4.89373 4.89408
4.89611 4.8968
4.87873 4.87966
4.89972 4.89976
4.91332 4.91466
4.91727 4.9193
4.92058 4.92099
4.91961 4.91985
4.92158 4.92206
4.92295 4.92354
4.92485 4.92522
4.92629 4.92681
4.92973 4.93039
4.936 4.93662
4.93703 4.93754
